code,name,group,date,close,amount,amount_wan,nav_date,nav,live_premium_pct,open,high,low,volume,accum_nav,nav_growth_pct,subscribe_status,redeem_status
159501,纳指ETF嘉实,nasdaq100,2025-01-02,1.526,283539041,28353.9041,2024-12-31,1.4202,7.449654978172093,1.514,1.526,1.509,186608720,1.4202,-0.88,场内买入,场内卖出
159509,纳指科技ETF景顺,nasdaq100,2025-01-02,1.632,1177797872,117779.7872,2024-12-31,1.4804,10.240475547149419,1.606,1.632,1.605,726018735,1.4804,-1.06,场内买入,场内卖出
159513,纳斯达克100ETF大成,nasdaq100,2025-01-02,1.373,192275443,19227.5443,2024-12-31,1.2758,7.618749020222593,1.368,1.373,1.365,140447143,1.2758,-0.87,场内买入,场内卖出
159612,标普500ETF国泰,sp500,2025-01-02,1.777,22511837,2251.1837,2024-12-31,1.5688,13.271290158082616,1.761,1.779,1.761,12708300,1.5688,-0.43,场内买入,场内卖出
159632,纳斯达克ETF华安,nasdaq100,2025-01-02,1.895,527440134,52744.0134,2024-12-31,1.7311,9.467968343827614,1.907,1.922,1.892,277051700,1.7311,-0.88,场内买入,场内卖出
159655,标普500ETF华夏,sp500,2025-01-02,1.691,459021073,45902.1073,2024-12-31,1.5591,8.460008979539491,1.65,1.734,1.649,269568884,1.5591,-0.42,场内买入,场内卖出
159659,纳斯达克100ETF招商,nasdaq100,2025-01-02,1.739,1045267277,104526.7277,2024-12-31,1.6271,6.87726630200971,1.708,1.74,1.708,607114268,1.6271,-0.88,场内买入,场内卖出
159660,纳指ETF汇添富,nasdaq100,2025-01-02,1.846,682485576,68248.5576,2024-12-31,1.6513,11.790710349421673,1.813,1.849,1.807,371799862,1.6513,-0.88,场内买入,场内卖出
159696,纳指ETF易方达,nasdaq100,2025-01-02,1.508,57630738,5763.0738,2024-12-31,1.4041,7.39975785200484,1.491,1.508,1.49,38450001,1.4041,-0.88,场内买入,场内卖出
159941,纳指ETF广发,nasdaq100,2025-01-02,1.246,1029565992,102956.5992,2024-12-31,1.145,8.820960698689962,1.229,1.246,1.229,830408520,4.58,-0.86,场内买入,场内卖出
161128,标普信息科技LOF,nasdaq100,2025-01-02,5.139,135081667,13508.1667,2024-12-31,4.876,5.393765381460214,5.05,5.17,5.05,26377935,4.876,-0.99,暂停申购,开放赎回
513100,纳指ETF国泰,nasdaq100,2025-01-02,1.643,1073799052,107379.9052,2024-12-31,1.516,8.377308707124008,1.625,1.645,1.622,656522100,7.58,-0.92,暂停申购,场内卖出
513110,纳指ETF华泰柏瑞,nasdaq100,2025-01-02,1.876,373559051,37355.9051,2024-12-31,1.7504,7.175502742230333,1.842,1.877,1.842,201341700,1.7504,-0.88,场内买入,场内卖出
513300,纳斯达克ETF华夏,nasdaq100,2025-01-02,2.105,545975141,54597.5141,2024-12-31,1.9203,9.618288809040255,2.084,2.106,2.083,260241000,1.9203,-0.87,场内买入,场内卖出
513390,纳指100ETF博时,nasdaq100,2025-01-02,1.837,85931485,8593.1485,2024-12-31,1.698,8.186101295641922,1.815,1.846,1.812,47103100,1.698,-0.88,暂停申购,场内卖出
