code,name,group,start_date,end_date,trading_days,latest_premium_pct,avg_premium_pct,avg_amount_wan
159501,纳指ETF嘉实,nasdaq100,2025-01-02,2026-09-21,418,15.0542,4.4481,21091.92
159509,纳指科技ETF景顺,nasdaq100,2025-01-02,2026-09-21,418,28.4328,13.1055,94279.58
159513,纳斯达克100ETF大成,nasdaq100,2025-01-02,2026-09-21,418,10.1573,3.5778,13105.66
159632,纳斯达克ETF华安,nasdaq100,2025-01-02,2026-09-21,418,10.6943,3.6355,26553.12
159659,纳斯达克100ETF招商,nasdaq100,2025-01-02,2026-09-21,418,10.5698,3.5673,29038.69
159660,纳指ETF汇添富,nasdaq100,2025-01-02,2026-09-21,418,10.3312,4.3665,12997.14
159696,纳指ETF易方达,nasdaq100,2025-01-02,2026-09-21,418,11.0752,3.9216,10032.09
159941,纳指ETF广发,nasdaq100,2025-01-02,2026-09-21,418,12.9486,4.7504,119593.5
513100,纳指ETF国泰,nasdaq100,2025-01-02,2026-09-22,419,12.9591,5.244,68980.18
513110,纳指ETF华泰柏瑞,nasdaq100,2025-01-02,2026-09-22,419,9.3226,3.4003,19315.05
513300,纳斯达克ETF华夏,nasdaq100,2025-01-02,2026-09-22,419,9.8823,3.9723,50903.33
513390,纳指100ETF博时,nasdaq100,2025-01-02,2026-09-22,419,9.4069,4.4528,12302.39
513870,纳指ETF富国,nasdaq100,2025-01-02,2026-09-22,419,9.5862,3.6082,11641.12
513500,标普500ETF博时,sp500,2025-01-02,2026-09-22,419,9.9774,4.1867,36460.91
159612,标普500ETF国泰,sp500,2025-01-02,2026-09-21,416,9.3033,7.5597,30996.41
513650,标普500ETF南方,sp500,2025-01-02,2026-09-22,419,8.6749,2.7101,17261.34
159655,标普500ETF华夏,sp500,2025-01-02,2026-09-21,418,9.7182,2.6468,19549.76
161128,标普信息科技LOF,nasdaq100,2025-01-02,2026-09-21,418,6.3575,2.1365,9613.48
